ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description
1,HOME,SKU001,Camiseta Local FC BARCELONA 22/23,TRUE,FALSE,catalog,,- Tecnología Nike Dri-FIT - Tejido muy elástico de secado rápido - 100% poliéster - Color: Azul y escarlata. El plazo de entrega de los productos personalizados es de 7 a 14 días. Este producto no se puede cambiar ni devolver. Los números de jugador no se finalizarán hasta que cierre la ventana de transferencia. Barça Licensing and Merchandising (BLM) no se hace responsable de los cambios que se produzcan antes de que se hagan oficiales los dorsales de la próxima temporada 23/24.
2,HOME,SKU002,Bayern München 23-24,TRUE,FALSE,catalog,,"La camiseta de local Adidas Bayern München 2023-2024 combina los colores tradicionales del club, pero en un estilo diferente al habitual."
3,HOME,SKU003,Borussia Dortmund 2023-2024,TRUE,FALSE,catalog,,"La camiseta de fútbol local Puma BVB 2023-24 es predominantemente amarilla con un gráfico distintivo en el frente, inspirado en el estadio local del club."
4,HOME,SKU004,AC Milan 2023-2024,TRUE,FALSE,catalog,,"La camiseta de local Nike Atlético de Madrid 2023-24 hace que el club vuelva a las rayas clásicas, eliminando el diseño ondulado de la temporada pasada."
5,HOME,SKU005,Union Berlin 2023-2024,TRUE,FALSE,catalog,,"La camiseta de local Union Berlin hace que el club vuelva a las rayas clásicas, eliminando el diseño ondulado de la temporada pasada."
6,HOME,SKU006,SSC Napoli 2023-2024,TRUE,FALSE,catalog,,La camiseta de local EA7 SSC Napoli 2023-24 es azul cielo con los colores de la bandera italiana en el cuello y los puños.
7,HOME,SKU007,SL Benfica 2023-2024,TRUE,FALSE,catalog,,"La camiseta Adidas SL Benfica 2023-24 tiene un diseño elegante y con estilo. Es principalmente rojo, combinado con logos blancos y detalles dorados."
8,HOME,SKU008,Shakhtar Donetsk 2023-2024,TRUE,FALSE,catalog,,"La camiseta Shakhtar Donetsk 2023-24 tiene un diseño elegante y con estilo. Es principalmente rojo, combinado con logos blancos y detalles dorados."
9,HOME,SKU009,Sevilla FC 2023-2024,TRUE,FALSE,catalog,,La camiseta Castore Sevilla 2023-24 se inspira en la equipación de Umbro de la temporada 2000-2001.
10,HOME,SKU010,Red Star Belgrade 2023-2024,TRUE,FALSE,catalog,,La camiseta RES STAR BELGRADE 2023-24 se inspira en la equipación de Umbro de la temporada 2000-2001.
11,HOME,SKU011,Red Bull Salzburg 2022-2023,TRUE,FALSE,catalog,,"La camiseta de local Nike Red Bull Salzburg 2022-2023 se basa en la plantilla 22-23 'B team' de Nike, lo que nos da un vistazo a una opción gráfica que aún no hemos visto. Una base blanca simple se combina con un cuello y puños rojos. La parte delantera de la camiseta presenta formas de V repetidas, que consisten en líneas verticales de color gris claro, que varían en forma y tamaño. Se supone que este diseño se parece al símbolo de avance rápido, ya que el Salzburgo intenta asociar el kit con la velocidad de su estilo de juego."
12,HOME,SKU012,Real Sociedad 2023-2024,TRUE,FALSE,catalog,,La camiseta Macron Real Sociedad 2023-2024 presenta una nueva versión de las tradicionales rayas azules y blancas del club.
13,HOME,SKU013,Real Madrid 2023-2024,TRUE,FALSE,catalog,,El kit de casa del Real Madrid 23-24 tiene un diseño moderno pero simple. Lo más interesante es la combinación de colores: el blanco se combina con un azul marino oscuro ('Legend Ink') y un 'Preloved Yellow'.
14,HOME,SKU014,RC Lens 2023-2024,TRUE,FALSE,catalog,,"El diseño de la camiseta de local Puma RC Lens 2023-2024 celebra los colores tradicionales del club, predominantemente amarillo con franjas rojas en los costados y mangas rojas."
15,HOME,SKU015,RB Leipzig 2023-2024,TRUE,FALSE,catalog,,"La camiseta local de Leipzig 2023-2024 es predominantemente blanca, con un estampado rojo en zig-zag en las mangas, en el mismo estilo que se ve en el kit de visitante."
16,HOME,SKU016,Paris Saint-Germain 2023-2024,TRUE,FALSE,catalog,,"La camiseta de fútbol local Nike Paris SG 2023-2024 evoca recuerdos de las camisetas del PSG de principios de la década de 2000, usadas por jugadores como Ronaldinho y Gabriel Heinze."
17,HOME,SKU017,Newcastle United 2023-2024,TRUE,FALSE,catalog,,"Inspirada en la equipación local de 1983 a 1986, la camiseta local Castore Newcastle United FC 2023-2024 presenta rayas blancas y negras regulares en el frente y las mangas, probablemente también en la espalda."
18,HOME,SKU018,Manchester United 2023-2024,TRUE,FALSE,catalog,,"La camiseta Adidas Man United 2023-2024 combina un clásico color principal rojo con negro para los logotipos y las tres rayas más detalles en blanco. Es la primera vez desde la temporada 2019-2020 que Adidas usa el negro como color secundario. Oficialmente, el color rojo se llama 'Team Collage Red'."
19,HOME,SKU019,Manchester City 2023-2024,TRUE,FALSE,catalog,,"La camiseta de local Puma Manchester City 2023-24 es principalmente Team Light Blue, el mismo color que la temporada pasada. Complementando el azul cielo tradicional está el blanco, utilizado para los logotipos y en los detalles del cuello."
20,HOME,SKU020,Lazio 2023-2024,TRUE,FALSE,catalog,,"La camiseta Mizuno Lazio 23-24 presenta un diseño en relieve tonal del águila Olympia en el frente, lo que le da un aspecto clásico pero moderno. Este diseño rinde homenaje a la camiseta de 1973-74 y les da a los fanáticos una sensación de nostalgia."
21,HOME,SKU021,Inter Milan 2023-2024,TRUE,FALSE,catalog,,La camiseta de fútbol local Nike Football Club Internazionale Milano 23-24 tiene un esquema de color fresco pero nuevo. Combina el famoso Black and Blue del club con logos amarillos.
22,HOME,SKU022,Monterrey 2023-2024,TRUE,FALSE,catalog,,"La camiseta Umbro Monterrey 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
23,HOME,SKU023,Tigres 2023-2024,TRUE,FALSE,catalog,,"La camiseta New Balance Tigres 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
24,HOME,SKU024,Bayer Leverkusen 2023-2024,TRUE,FALSE,catalog,,"La camiseta Kappa Bayer Leverkusen 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
25,HOME,SKU025,VfL Wolfsburg 2023-2024,TRUE,FALSE,catalog,,"La camiseta Macron VfL Wolfsburg 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
26,HOME,SKU026,Eintracht Frankfurt 2023-2024,TRUE,FALSE,catalog,,"La camiseta Joma Eintracht Frankfurt 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
27,HOME,SKU027,Schalke 04 2023-2024,TRUE,FALSE,catalog,,"La camiseta Hummel Schalke 04 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
28,HOME,SKU028,Galatasaray 2023-2024,TRUE,FALSE,catalog,,"La camiseta Le Coq Sportif Galatasaray 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
29,HOME,SKU029,Fenerbahce 2023-2024,TRUE,FALSE,catalog,,"La camiseta Diadora Fenerbahce 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
30,HOME,SKU030,Besiktas 2023-2024,TRUE,FALSE,catalog,,"La camiseta Lotto Besiktas 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
31,HOME,SKU031,Sporting CP 2023-2024,TRUE,FALSE,catalog,,"La camiseta Mizuno Sporting CP 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
32,HOME,SKU032,Porto 2023-2024,TRUE,FALSE,catalog,,"La camiseta Fila Porto 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
33,HOME,SKU033,Benfica 2023-2024,TRUE,FALSE,catalog,,"La camiseta Kelme Benfica 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
34,HOME,SKU034,Anderlecht 2023-2024,TRUE,FALSE,catalog,,"La camiseta Errea Anderlecht 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
35,HOME,SKU035,Club Brugge 2023-2024,TRUE,FALSE,catalog,,"La camiseta Sondico Club Brugge 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
36,HOME,SKU036,RSC Charleroi 2023-2024,TRUE,FALSE,catalog,,"La camiseta Nike RSC Charleroi 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
37,HOME,SKU037,Dinamo Zagreb 2023-2024,TRUE,FALSE,catalog,,"La camiseta Adidas Dinamo Zagreb 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
38,HOME,SKU038,Hajduk Split 2023-2024,TRUE,FALSE,catalog,,"La camiseta Puma Hajduk Split 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
39,HOME,SKU039,Olympiakos 2023-2024,TRUE,FALSE,catalog,,"La camiseta Under Armour Olympiakos 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
40,HOME,SKU040,Panathinaikos 2023-2024,TRUE,FALSE,catalog,,"La camiseta Umbro Panathinaikos 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
41,HOME,SKU041,AEK Athens 2023-2024,TRUE,FALSE,catalog,,"La camiseta New Balance AEK Athens 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
42,HOME,SKU042,Lokomotiv Moscow 2023-2024,TRUE,FALSE,catalog,,"La camiseta Kappa Lokomotiv Moscow 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
43,HOME,SKU043,Spartak Moscow 2023-2024,TRUE,FALSE,catalog,,"La camiseta Macron Spartak Moscow 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
44,HOME,SKU044,CSKA Moscow 2023-2024,TRUE,FALSE,catalog,,"La camiseta Joma CSKA Moscow 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
45,HOME,SKU045,Zenit St Petersburg 2023-2024,TRUE,FALSE,catalog,,"La camiseta Hummel Zenit St Petersburg 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
46,HOME,SKU046,Rosenborg 2023-2024,TRUE,FALSE,catalog,,"La camiseta Le Coq Sportif Rosenborg 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
47,HOME,SKU047,Molde 2023-2024,TRUE,FALSE,catalog,,"La camiseta Diadora Molde 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
48,HOME,SKU048,Brondby 2023-2024,TRUE,FALSE,catalog,,"La camiseta Lotto Brondby 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
49,HOME,SKU049,FC Copenhagen 2023-2024,TRUE,FALSE,catalog,,"La camiseta Mizuno FC Copenhagen 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
50,HOME,SKU050,HJK Helsinki 2023-2024,TRUE,FALSE,catalog,,"La camiseta Fila HJK Helsinki 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
51,HOME,SKU051,Malmo FF 2023-2024,TRUE,FALSE,catalog,,"La camiseta Kelme Malmo FF 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
52,HOME,SKU052,IFK Gothenburg 2023-2024,TRUE,FALSE,catalog,,"La camiseta Errea IFK Gothenburg 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
53,HOME,SKU053,AIK 2023-2024,TRUE,FALSE,catalog,,"La camiseta Sondico AIK 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
54,HOME,SKU054,Brommapojkarna 2023-2024,TRUE,FALSE,catalog,,"La camiseta Nike Brommapojkarna 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
55,HOME,SKU055,Cruz Azul 2023-2024,TRUE,FALSE,catalog,,"La camiseta Adidas Cruz Azul 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
56,HOME,SKU056,Al Ahly 2023-2024,TRUE,FALSE,catalog,,"La camiseta Puma Al Ahly 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
57,HOME,SKU057,Zamalek 2023-2024,TRUE,FALSE,catalog,,"La camiseta Under Armour Zamalek 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
58,HOME,SKU058,Esperance 2023-2024,TRUE,FALSE,catalog,,"La camiseta Umbro Esperance 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
59,HOME,SKU059,Raja Casablanca 2023-2024,TRUE,FALSE,catalog,,"La camiseta New Balance Raja Casablanca 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
60,HOME,SKU060,Wydad Casablanca 2023-2024,TRUE,FALSE,catalog,,"La camiseta Kappa Wydad Casablanca 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
61,HOME,SKU061,Al Hilal 2023-2024,TRUE,FALSE,catalog,,"La camiseta Macron Al Hilal 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
62,HOME,SKU062,Al Nassr 2023-2024,TRUE,FALSE,catalog,,"La camiseta Joma Al Nassr 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
63,HOME,SKU063,Al Sadd 2023-2024,TRUE,FALSE,catalog,,"La camiseta Hummel Al Sadd 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
64,HOME,SKU064,Al Rayyan 2023-2024,TRUE,FALSE,catalog,,"La camiseta Le Coq Sportif Al Rayyan 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
65,HOME,SKU065,Sydney FC 2023-2024,TRUE,FALSE,catalog,,"La camiseta Diadora Sydney FC 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
66,HOME,SKU066,Melbourne Victory 2023-2024,TRUE,FALSE,catalog,,"La camiseta Lotto Melbourne Victory 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
67,HOME,SKU067,Brisbane Roar 2023-2024,TRUE,FALSE,catalog,,"La camiseta Mizuno Brisbane Roar 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
68,HOME,SKU068,Perth Glory 2023-2024,TRUE,FALSE,catalog,,"La camiseta Fila Perth Glory 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
69,HOME,SKU069,Vancouver Whitecaps 2023-2024,TRUE,FALSE,catalog,,"La camiseta Kelme Vancouver Whitecaps 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
70,HOME,SKU070,Toronto FC 2023-2024,TRUE,FALSE,catalog,,"La camiseta Errea Toronto FC 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
71,HOME,SKU071,Montreal Impact 2023-2024,TRUE,FALSE,catalog,,"La camiseta Sondico Montreal Impact 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
72,HOME,SKU072,New York City FC 2023-2024,TRUE,FALSE,catalog,,"La camiseta Nike New York City FC 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
73,HOME,SKU073,New York Red Bulls 2023-2024,TRUE,FALSE,catalog,,"La camiseta Adidas New York Red Bulls 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
74,HOME,SKU074,LA Galaxy 2023-2024,TRUE,FALSE,catalog,,"La camiseta Puma LA Galaxy 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
75,HOME,SKU075,Los Angeles FC 2023-2024,TRUE,FALSE,catalog,,"La camiseta Under Armour Los Angeles FC 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
76,HOME,SKU076,Seattle Sounders 2023-2024,TRUE,FALSE,catalog,,"La camiseta Umbro Seattle Sounders 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
77,HOME,SKU077,Portland Timbers 2023-2024,TRUE,FALSE,catalog,,"La camiseta New Balance Portland Timbers 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
78,HOME,SKU078,Chicago Fire 2023-2024,TRUE,FALSE,catalog,,"La camiseta Kappa Chicago Fire 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
79,HOME,SKU079,DC United 2023-2024,TRUE,FALSE,catalog,,"La camiseta Macron DC United 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
80,HOME,SKU080,Columbus Crew 2023-2024,TRUE,FALSE,catalog,,"La camiseta Joma Columbus Crew 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
81,HOME,SKU081,Orlando City 2023-2024,TRUE,FALSE,catalog,,"La camiseta Hummel Orlando City 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
82,HOME,SKU082,Inter Miami 2023-2024,TRUE,FALSE,catalog,,"La camiseta Le Coq Sportif Inter Miami 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
83,HOME,SKU083,Atlético Nacional 2023-2024,TRUE,FALSE,catalog,,"La camiseta Diadora Atlético Nacional 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
84,HOME,SKU084,Deportivo Cali 2023-2024,TRUE,FALSE,catalog,,"La camiseta Lotto Deportivo Cali 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
85,HOME,SKU085,Millonarios 2023-2024,TRUE,FALSE,catalog,,"La camiseta Mizuno Millonarios 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
86,HOME,SKU086,Independiente Medellín 2023-2024,TRUE,FALSE,catalog,,"La camiseta Fila Independiente Medellín 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
87,HOME,SKU087,Once Caldas 2023-2024,TRUE,FALSE,catalog,,"La camiseta Kelme Once Caldas 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
88,HOME,SKU088,Santa Fe 2023-2024,TRUE,FALSE,catalog,,"La camiseta Errea Santa Fe 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
89,HOME,SKU089,Arsenal 2023-2024,TRUE,FALSE,catalog,,"La camiseta Sondico Arsenal 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
90,HOME,SKU090,Chelsea 2023-2024,TRUE,FALSE,catalog,,"La camiseta Nike Chelsea 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
91,HOME,SKU091,Tottenham Hotspur 2023-2024,TRUE,FALSE,catalog,,"La camiseta Adidas Tottenham Hotspur 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
92,HOME,SKU092,Juventus 2023-2024,TRUE,FALSE,catalog,,"La camiseta Puma Juventus 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
93,HOME,SKU093,AS Roma 2023-2024,TRUE,FALSE,catalog,,"La camiseta Under Armour AS Roma 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
94,HOME,SKU094,Olympique Lyon 2023-2024,TRUE,FALSE,catalog,,"La camiseta Umbro Olympique Lyon 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
95,HOME,SKU095,Marseille 2023-2024,TRUE,FALSE,catalog,,"La camiseta New Balance Marseille 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
96,HOME,SKU096,PSV Eindhoven 2023-2024,TRUE,FALSE,catalog,,"La camiseta Kappa PSV Eindhoven 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
97,HOME,SKU097,Ajax 2023-2024,TRUE,FALSE,catalog,,"La camiseta Macron Ajax 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
98,HOME,SKU098,Feyenoord 2023-2024,TRUE,FALSE,catalog,,"La camiseta Joma Feyenoord 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
99,HOME,SKU099,Celtic 2023-2024,TRUE,FALSE,catalog,,"La camiseta Hummel Celtic 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
100,HOME,SKU100,Rangers 2023-2024,TRUE,FALSE,catalog,,"La camiseta Le Coq Sportif Rangers 2023-2024 tiene un diseño elegante y con estilo, combinando los colores tradicionales del club con un toque moderno."
